"no","name","category","imageSrc","itemNumber","upc","bin","price","unitPrice","casePrice","unitsPerCase","averageUnitWeight","averageCaseWeight","onSale","volumePriceText"
25,"Cup Noodle - Chicken Flavor - 12/2.5 oz","Retail Groceries (Food)","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/7/0/7066223003.png","13257","7066223003","3030","7.99",,,,,,false,
26,"Acqua Panna Natural Spring Water - 12/750 ml glass bottles","Beverages & Mixers","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/4/1/4150883446.jpg","1220118","4150883446","4056","24.06",,,,,,false,
27,"Frozen Big C - 3/8"" Straight Cut French Fries - 6/5 lbs","Frozen Foods","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/6/0/60695_00046.png","58716","76069500046","338","34.61",,,,,,false,"$33.46 if you buy 5 or more"
28,"Frozen Big C - 1/2"" Crinkle Cut French Fries - 6/5 lbs","Frozen Foods","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/6/0/60695_00047.png","58738","76069500047","338","35.00",,,,,,false,"$33.83 if you buy 5 or more"
29,"Perrier - Sparkling Mineral Water - 24/11 oz glass bottles","Beverages & Mixers","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/0/0/0007478000410_a_1_.jpg","10714","7478000410","4049","23.23",,,,,,false,
30,"Sprite Cans, 12 fl oz, 35 Pack","Beverages & Mixers","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/4/4/441543.png","441543","4900005848","1045","20.85",,,,,,true,
31,"Act II - Microwave Popcorn, Butter Lover - 6.65 Lb","Candy & Snacks","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/7/6/7615001126.png","232641","7615001126","3025","12.23",,,,,,false,
32,"Tahitian Treat Fruit Punch Soda, 12 oz, 12 Pk","Beverages & Mixers","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/7/8/7800002025.jpg","441444","7800002025","4044","12.40",,,,,,false,
33,"Beef Tenders (PSMO), Utility","Fresh & Frozen Meats","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/b/e/beef_psmo.jpg","62180","20621800000","60010","54.15",,,,5,,false,"$10.83 per pound. Buy more than 55 LBS, price per pound drops to $10.10"
34,"Sabor Nuestro - Chicken Base - 25 lb Jar","Dry Groceries","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/7/6/76069502506.jpg","1060186","76069502506","40010","68.25",,,,,,false,
35,"Maruchan - Chicken Flavor Ramen Noodles - 24/3 oz Packets","Retail Groceries (Food)","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/4/1/4178990211.jpeg","180218","4178990211","3029","7.90",,,,,,false,
36,"Jumbo Chicken Party Wings (6-8 ct)","Fresh & Frozen Meats","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/2/0/20772000000.png","77200","20772000000","60003","89.20",,,,,40,false,"$2.23 per pound."
37,"Acqua Panna Water - 12/1L glass bottles","Beverages & Mixers","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/d/o/download_1__5.jpg","26740","4150820030","4053","25.93",,,,,,false,
38,"Crush - Orange Soda - 24/12 oz","Beverages & Mixers","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/7/8/7800001305.jpg","25944","7800001305","210","10.38",,,,,,false,
39,"Mesclun - 3 lbs","Fresh Produce","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/t/a/taylorfarmslogo_4.png","650353","3022303690","500",,"7.83","37.01",5,,,false,
40,"Fanta Orange Soda Cans, 12 fl oz, 24 Pack","Beverages & Mixers","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/1/5/15685.jpg","14290","4900003073","1043","16.48",,,,,,false,
